process,string
Update.exe,gitkraken 
rundll32.exe,lenovo 
dotnet.exe,\.nuget\
rundll32.exe,@screensaver 
rundll32.exe,.jpeg 
explorer.exe,.png 
rundll32.exe,.png 
explorer.exe,.pdf 
rundll32.exe,.pdf 
explorer.exe,/factory 
protocolhandler.exe,docs.live.net 
WINWORD.EXE,docs.live.net 
wsl.exe,Ubuntu 
wsl.exe,docker 
explorer.exe,/select 
onedrive.exe,/background 
WINWORD.EXE,.no/ 
protocolhandler.exe,.no/ 
RegAsm.exe,/register 
rundll32.exe,azure.com 
wsl.exe, kill  
dotnet.exe,AzureFunctionsTools 
dotnet.exe,--requestId 
rundll32.exe,OneDriveCloudTemp 
msedge.exe,--profile-directory=Default 
msedge.exe,--no-startup-window 
pnputil.exe,Xerox 
rundll32.exe,/issues/
dotnet.exe,--runtimeconfig
RegAsm.exe,/u /s
mshta.exe,/definition
